Season,Rank,Team_Name,Matches_Played,Matches_Won,Matches_Lost,Matches_Drow,Total_Points
Season 7,1,Dabang Delhi K.C.,19,15,2,2,82
Season 7,2,Bengal Warriors,19,12,4,3,73
Season 7,3,Haryana Steelers,19,12,6,1,65
Season 7,4,Bengaluru Bulls,19,10,8,1,58
Season 7,5,U.P. Yoddha,18,10,6,2,58
Season 7,6,U Mumba,18,9,8,1,54
Season 7,7,Jaipur Pink Panthers,20,8,10,2,52
Season 7,8,Gujarat Fortunegiants,20,6,12,2,45
Season 7,9,Puneri Paltan,20,6,11,3,42
Season 7,10,Patna Pirates,19,6,12,1,40
Season 7,11,Telugu Titans,18,5,10,3,39
Season 7,12,Tamil Thalaivas,19,3,13,3,30
